City,Cluster
Budapest,c0
Rome,c0
Athens,c0
Paris,c2
Amsterdam,c1
Lisbon,c0
Lisbon,c0
Rome,c0
Amsterdam,c1
Rome,c0
Rome,c0
Berlin,c0
Vienna,c2
Paris,c2
Rome,c0
Athens,c0
Lisbon,c0
Amsterdam,c1
Rome,c0
Rome,c0
Paris,c2
Budapest,c0
Rome,c0
Barcelona,c2
Athens,c0
Rome,c0
Rome,c0
Rome,c0
Berlin,c0
Athens,c0
Lisbon,c0
Amsterdam,c1
Paris,c2
Paris,c2
Athens,c0
Rome,c0
Rome,c0
Athens,c0
Berlin,c0
Athens,c0
Rome,c0
Athens,c0
Lisbon,c0
Athens,c0
Lisbon,c2
Vienna,c2
Amsterdam,c1
Rome,c0
Barcelona,c2
Amsterdam,c1
Berlin,c0
Athens,c0
Lisbon,c2
Vienna,c2
Budapest,c0
Rome,c0
Athens,c0
Amsterdam,c1
Berlin,c0
Lisbon,c2
Lisbon,c2
Rome,c0
Rome,c0
Lisbon,c2
Lisbon,c2
Berlin,c0
Athens,c0
Paris,c2
Lisbon,c2
Paris,c2
Paris,c2
Paris,c2
Rome,c0
Paris,c2
Paris,c2
Paris,c2
Budapest,c0
Budapest,c0
Amsterdam,c1
Paris,c2
Berlin,c0
Paris,c2
Athens,c0
Vienna,c2
Berlin,c0
Paris,c2
Rome,c0
Athens,c0
Vienna,c2
Barcelona,c2
Paris,c2
Barcelona,c2
Rome,c0
Lisbon,c2
Rome,c0
Athens,c0
Rome,c0
Rome,c0
Vienna,c2
Budapest,c0
Vienna,c2
Lisbon,c2
Rome,c0
Paris,c2
Rome,c0
Athens,c0
Athens,c0
Paris,c1
Rome,c0
Paris,c1
Budapest,c0
Berlin,c0
Athens,c0
Berlin,c0
Rome,c0
Berlin,c0
Amsterdam,c1
Athens,c0
Athens,c0
Barcelona,c2
Paris,c1
Rome,c0
Athens,c0
Vienna,c2
Berlin,c0
Barcelona,c2
Paris,c1
Vienna,c2
Barcelona,c2
Lisbon,c2
Vienna,c2
Paris,c1
Rome,c0
Vienna,c2
Rome,c0
Lisbon,c2
Athens,c0
Lisbon,c2
Rome,c0
Berlin,c0
Paris,c1
Budapest,c0
Rome,c0
Rome,c0
Rome,c0
Lisbon,c2
Paris,c1
Rome,c0
Paris,c1
Paris,c1
Vienna,c2
Rome,c2
Rome,c0
Athens,c0
Rome,c0
Amsterdam,c1
Lisbon,c2
Paris,c1
Lisbon,c2
Paris,c1
Amsterdam,c1
Barcelona,c2
Lisbon,c2
Rome,c0
Amsterdam,c1
Rome,c0
Athens,c0
Amsterdam,c1
Lisbon,c2
Budapest,c0
Budapest,c0
Athens,c0
Lisbon,c1
Paris,c1
Rome,c2
Rome,c2
Athens,c0
Berlin,c0
Vienna,c2
Rome,c2
Rome,c2
Athens,c0
Rome,c2
Athens,c0
Budapest,c0
Rome,c2
Barcelona,c2
Athens,c0
Lisbon,c1
Lisbon,c1
Rome,c2
Lisbon,c1
Vienna,c2
Lisbon,c1
Budapest,c0
Athens,c0
Budapest,c0
Budapest,c0
Rome,c2
Barcelona,c2
