City,Cluster
Budapest,c0
Rome,c1
Athens,c2
Paris,c2
Amsterdam,c0
Lisbon,c1
Lisbon,c0
Rome,c1
Amsterdam,c1
Rome,c1
Rome,c1
Berlin,c1
Vienna,c2
Paris,c1
Rome,c1
Athens,c2
Lisbon,c0
Amsterdam,c0
Rome,c0
Rome,c0
Paris,c0
Budapest,c0
Rome,c1
Barcelona,c1
Athens,c2
Rome,c0
Rome,c0
Rome,c0
Berlin,c0
Athens,c1
Lisbon,c0
Amsterdam,c0
Paris,c0
Paris,c1
Athens,c1
Rome,c0
Rome,c2
Athens,c0
Berlin,c1
Athens,c1
Rome,c0
Athens,c0
Lisbon,c1
Athens,c1
Lisbon,c0
Vienna,c1
Amsterdam,c0
Rome,c0
Barcelona,c1
Amsterdam,c1
Berlin,c1
Athens,c0
Lisbon,c1
Vienna,c0
Budapest,c1
Rome,c1
Athens,c0
Amsterdam,c0
Berlin,c1
Lisbon,c1
Lisbon,c1
Rome,c0
Rome,c1
Lisbon,c0
Lisbon,c0
Berlin,c0
Athens,c0
Paris,c0
Lisbon,c0
Paris,c2
Paris,c1
Paris,c0
Rome,c2
Paris,c0
Paris,c1
Paris,c0
Budapest,c0
Budapest,c1
Amsterdam,c0
Paris,c1
Berlin,c0
Paris,c0
Athens,c0
Vienna,c1
Berlin,c1
Paris,c0
Rome,c0
Athens,c1
Vienna,c1
Barcelona,c0
Paris,c1
Barcelona,c0
Rome,c0
Lisbon,c0
Rome,c0
Athens,c1
Rome,c1
Rome,c1
Vienna,c0
Budapest,c0
Vienna,c1
Lisbon,c0
Rome,c0
Paris,c0
Rome,c0
Athens,c1
Athens,c0
Paris,c1
Rome,c0
Paris,c1
Budapest,c1
Berlin,c1
Athens,c0
Berlin,c1
Rome,c0
Berlin,c0
Amsterdam,c0
Athens,c0
Athens,c0
Barcelona,c0
Paris,c0
Rome,c0
Athens,c1
Vienna,c0
Berlin,c0
Barcelona,c0
Paris,c0
Vienna,c1
Barcelona,c1
Lisbon,c0
Vienna,c0
Paris,c0
Rome,c1
Vienna,c1
Rome,c0
Lisbon,c0
Athens,c0
Lisbon,c1
Rome,c1
Berlin,c1
Paris,c0
Budapest,c0
Rome,c0
Rome,c0
Rome,c0
Lisbon,c1
Paris,c1
Rome,c0
Paris,c1
Paris,c1
Vienna,c0
Rome,c0
Rome,c1
Athens,c1
Rome,c1
Amsterdam,c0
Lisbon,c0
Paris,c1
Lisbon,c0
Paris,c0
Amsterdam,c1
Barcelona,c0
Lisbon,c1
Rome,c0
Amsterdam,c0
Rome,c0
Athens,c0
Amsterdam,c1
Lisbon,c0
Budapest,c0
Budapest,c1
Athens,c0
Lisbon,c0
Paris,c2
Rome,c0
Rome,c0
Athens,c0
Berlin,c0
Vienna,c1
Rome,c0
Rome,c0
Athens,c0
Rome,c1
Athens,c0
Budapest,c0
Rome,c0
Barcelona,c0
Athens,c0
Lisbon,c0
Lisbon,c0
Rome,c0
Lisbon,c0
Vienna,c0
Lisbon,c0
Budapest,c0
Athens,c0
Budapest,c1
Budapest,c0
Rome,c1
Barcelona,c0
